DateTime,Average,Data1,Data2,Data3,Data4,Longitude,Latitude,T1,T2,T(avg),Date,Time
5/3/2024 21:50,59.75,70,65,50.0,54.0,33.9,-117.51,17,12,14.5,5/3/2024,21:50
5/3/2024 22:00,62.5,73,68,52.0,57.0,33.9,-117.51,17,12,14.5,5/3/2024,22:00
5/3/2024 22:10,61.25,72,69,48.0,56.0,33.9,-117.51,17,12,14.5,5/3/2024,22:10
5/3/2024 22:20,64.5,75,70,53.0,60.0,33.9,-117.51,17,12,14.5,5/3/2024,22:20
5/3/2024 22:30,62.5,71,67,53.0,59.0,33.9,-117.51,16,12,14.0,5/3/2024,22:30
5/3/2024 22:40,62.75,70,66,55.0,60.0,33.9,-117.51,16,12,14.0,5/3/2024,22:40
5/3/2024 22:50,64.5,73,67,55.0,63.0,33.9,-117.51,16,12,14.0,5/3/2024,22:50
5/3/2024 23:00,66.0,76,70,55.0,63.0,33.9,-117.51,16,12,14.0,5/3/2024,23:00
5/3/2024 23:10,67.0,78,72,57.0,61.0,33.9,-117.51,16,12,14.0,5/3/2024,23:10
5/3/2024 23:20,70.0,82,74,58.0,66.0,33.9,-117.51,15,12,13.5,5/3/2024,23:20
5/3/2024 23:30,70.25,83,77,58.0,63.0,33.9,-117.51,15,12,13.5,5/3/2024,23:30
5/3/2024 23:40,69.0,81,74,57.0,64.0,33.9,-117.51,15,12,13.5,5/3/2024,23:40
5/3/2024 23:50,69.75,81,74,58.0,66.0,33.9,-117.51,15,12,13.5,5/3/2024,23:50
5/4/2024 0:00,69.25,82,72,57.0,66.0,33.9,-117.51,15,12,13.5,5/4/2024,0:00
5/4/2024 0:10,70.0,81,73,60.0,66.0,33.9,-117.51,15,12,13.5,5/4/2024,0:10
5/4/2024 0:20,68.25,80,72,57.0,64.0,33.9,-117.51,15,12,13.5,5/4/2024,0:20
5/4/2024 0:30,70.25,81,73,61.0,66.0,33.9,-117.51,16,12,14.0,5/4/2024,0:30
5/4/2024 0:40,70.5,79,73,62.0,68.0,33.9,-117.51,16,12,14.0,5/4/2024,0:40
5/4/2024 0:50,72.75,82,76,63.0,70.0,33.9,-117.51,16,12,14.0,5/4/2024,0:50
5/4/2024 1:00,73.25,85,77,63.0,68.0,33.9,-117.51,16,12,14.0,5/4/2024,1:00
5/4/2024 1:10,75.5,88,82,62.0,70.0,33.9,-117.51,16,12,14.0,5/4/2024,1:10
5/4/2024 1:20,77.5,92,87,62.0,69.0,33.9,-117.51,16,12,14.0,5/4/2024,1:20
5/4/2024 1:30,77.25,94,88,59.0,68.0,33.9,-117.51,16,12,14.0,5/4/2024,1:30
5/4/2024 1:40,76.75,95,89,58.0,65.0,33.9,-117.51,16,13,14.5,5/4/2024,1:40
5/4/2024 1:50,79.75,97,92,62.0,68.0,33.9,-117.51,15,13,14.0,5/4/2024,1:50
5/4/2024 2:00,80.5,99,94,60.0,69.0,33.9,-117.51,16,13,14.5,5/4/2024,2:00
5/4/2024 2:10,80.0,98,92,61.0,69.0,33.9,-117.51,16,13,14.5,5/4/2024,2:10
5/4/2024 2:20,80.75,98,92,63.0,70.0,33.9,-117.51,16,13,14.5,5/4/2024,2:20
5/4/2024 2:30,80.5,97,92,63.0,70.0,33.9,-117.51,16,12,14.0,5/4/2024,2:30
5/4/2024 2:40,80.0,97,90,62.0,71.0,33.9,-117.51,16,13,14.5,5/4/2024,2:40
5/4/2024 2:50,80.25,98,92,62.0,69.0,33.9,-117.51,16,13,14.5,5/4/2024,2:50
5/4/2024 3:00,80.75,99,93,62.0,69.0,33.9,-117.51,16,13,14.5,5/4/2024,3:00
5/4/2024 3:10,82.75,102,94,64.0,71.0,33.9,-117.51,16,13,14.5,5/4/2024,3:10
5/4/2024 3:20,83.0,99,93,66.0,74.0,33.9,-117.51,16,13,14.5,5/4/2024,3:20
5/4/2024 3:30,83.25,99,93,66.0,75.0,33.9,-117.51,16,13,14.5,5/4/2024,3:30
5/4/2024 3:40,85.25,103,95,68.0,75.0,33.9,-117.51,16,12,14.0,5/4/2024,3:40
5/4/2024 3:50,86.5,104,96,69.0,77.0,33.9,-117.51,16,12,14.0,5/4/2024,3:50
5/4/2024 4:00,87.0,104,96,69.0,79.0,33.9,-117.51,16,12,14.0,5/4/2024,4:00
5/4/2024 4:10,85.5,104,95,67.0,76.0,33.9,-117.51,16,12,14.0,5/4/2024,4:10
5/4/2024 4:20,84.75,103,95,67.0,74.0,33.9,-117.51,16,12,14.0,5/4/2024,4:20
5/4/2024 4:30,77.75,88,81,66.0,76.0,33.9,-117.51,15,12,13.5,5/4/2024,4:30
5/4/2024 4:40,75.75,84,77,67.0,75.0,33.9,-117.51,15,12,13.5,5/4/2024,4:40
5/4/2024 4:50,72.25,84,77,62.0,66.0,33.9,-117.51,15,12,13.5,5/4/2024,4:50
5/4/2024 5:00,70.0,84,75,58.0,63.0,33.9,-117.51,15,12,13.5,5/4/2024,5:00
5/4/2024 5:10,69.75,86,77,55.0,61.0,33.9,-117.51,15,12,13.5,5/4/2024,5:10
5/4/2024 5:20,69.5,88,78,52.0,60.0,33.9,-117.51,15,12,13.5,5/4/2024,5:20
5/4/2024 5:30,71.0,88,81,55.0,60.0,33.9,-117.51,15,12,13.5,5/4/2024,5:30
5/4/2024 5:40,74.75,98,88,54.0,59.0,33.9,-117.51,15,12,13.5,5/4/2024,5:40
5/4/2024 5:50,76.5,102,94,52.0,58.0,33.9,-117.51,15,12,13.5,5/4/2024,5:50
5/4/2024 6:00,78.75,104,95,55.0,61.0,33.9,-117.51,14,12,13.0,5/4/2024,6:00
5/4/2024 6:10,81.75,104,95,60.0,68.0,33.9,-117.51,15,12,13.5,5/4/2024,6:10
5/4/2024 6:20,82.5,104,95,62.0,69.0,33.9,-117.51,15,12,13.5,5/4/2024,6:20
5/4/2024 6:30,82.75,105,96,61.0,69.0,33.9,-117.51,15,12,13.5,5/4/2024,6:30
5/4/2024 6:40,82.0,105,96,60.0,67.0,33.9,-117.51,15,12,13.5,5/4/2024,6:40
5/4/2024 6:50,82.5,103,95,62.0,70.0,33.9,-117.51,15,12,13.5,5/4/2024,6:50
5/4/2024 7:00,84.0,103,94,65.0,74.0,33.9,-117.51,15,12,13.5,5/4/2024,7:00
